flight_id,departure_date,airline_name,airline_type,airline_country,destination,price,is_weekend,is_peak_season,season_multiplier,day_of_week,month
1,2026-01-01,대한항공,FSC,KR,도쿄(나리타),530349,False,True,2.0,Thursday,1
2,2026-01-02,대한항공,FSC,KR,도쿄(나리타),593037,False,True,2.0,Friday,1
3,2026-01-03,대한항공,FSC,KR,도쿄(나리타),569240,True,True,2.0,Saturday,1
4,2026-01-04,대한항공,FSC,KR,도쿄(나리타),554734,True,True,2.0,Sunday,1
5,2026-01-05,대한항공,FSC,KR,도쿄(나리타),506574,False,True,2.0,Monday,1
6,2026-01-06,대한항공,FSC,KR,도쿄(나리타),303943,False,False,1.2,Tuesday,1
7,2026-01-07,대한항공,FSC,KR,도쿄(나리타),297551,False,False,1.2,Wednesday,1
8,2026-01-08,대한항공,FSC,KR,도쿄(나리타),350303,False,False,1.2,Thursday,1
9,2026-01-09,대한항공,FSC,KR,도쿄(나리타),333000,False,False,1.2,Friday,1
10,2026-01-10,대한항공,FSC,KR,도쿄(나리타),339982,True,False,1.2,Saturday,1
11,2026-01-11,대한항공,FSC,KR,도쿄(나리타),295103,True,False,1.2,Sunday,1
12,2026-01-12,대한항공,FSC,KR,도쿄(나리타),357075,False,False,1.2,Monday,1
13,2026-01-13,대한항공,FSC,KR,도쿄(나리타),348101,False,False,1.2,Tuesday,1
14,2026-01-14,대한항공,FSC,KR,도쿄(나리타),307621,False,False,1.2,Wednesday,1
15,2026-01-15,대한항공,FSC,KR,도쿄(나리타),305629,False,False,1.2,Thursday,1
16,2026-01-16,대한항공,FSC,KR,도쿄(나리타),305732,False,False,1.2,Friday,1
17,2026-01-17,대한항공,FSC,KR,도쿄(나리타),313620,True,False,1.2,Saturday,1
18,2026-01-18,대한항공,FSC,KR,도쿄(나리타),328016,True,False,1.2,Sunday,1
19,2026-01-19,대한항공,FSC,KR,도쿄(나리타),321957,False,False,1.2,Monday,1
20,2026-01-20,대한항공,FSC,KR,도쿄(나리타),312771,False,False,1.2,Tuesday,1
21,2026-01-21,대한항공,FSC,KR,도쿄(나리타),333701,False,False,1.2,Wednesday,1
22,2026-01-22,대한항공,FSC,KR,도쿄(나리타),302866,False,False,1.2,Thursday,1
23,2026-01-23,대한항공,FSC,KR,도쿄(나리타),312831,False,False,1.2,Friday,1
24,2026-01-24,대한항공,FSC,KR,도쿄(나리타),317676,True,False,1.2,Saturday,1
25,2026-01-25,대한항공,FSC,KR,도쿄(나리타),323532,True,False,1.2,Sunday,1
26,2026-01-26,대한항공,FSC,KR,도쿄(나리타),345016,False,False,1.2,Monday,1
27,2026-01-27,대한항공,FSC,KR,도쿄(나리타),306794,False,False,1.2,Tuesday,1
