hotel_id,date,destination,avg_price_per_night,is_weekend,is_peak_season,month
1,2026-01-01,도쿄(나리타),250900,False,True,1
2,2026-01-02,도쿄(나리타),216733,False,True,1
3,2026-01-03,도쿄(나리타),249569,True,True,1
4,2026-01-04,도쿄(나리타),288912,True,True,1
5,2026-01-05,도쿄(나리타),254813,False,True,1
6,2026-01-06,도쿄(나리타),145923,False,False,1
7,2026-01-07,도쿄(나리타),136421,False,False,1
8,2026-01-08,도쿄(나리타),130013,False,False,1
9,2026-01-09,도쿄(나리타),130200,False,False,1
10,2026-01-10,도쿄(나리타),161947,True,False,1
11,2026-01-11,도쿄(나리타),143251,True,False,1
12,2026-01-12,도쿄(나리타),158216,False,False,1
13,2026-01-13,도쿄(나리타),134881,False,False,1
14,2026-01-14,도쿄(나리타),150068,False,False,1
15,2026-01-15,도쿄(나리타),134065,False,False,1
16,2026-01-16,도쿄(나리타),145154,False,False,1
17,2026-01-17,도쿄(나리타),145113,True,False,1
18,2026-01-18,도쿄(나리타),166851,True,False,1
19,2026-01-19,도쿄(나리타),146445,False,False,1
20,2026-01-20,도쿄(나리타),132081,False,False,1
21,2026-01-21,도쿄(나리타),154039,False,False,1
22,2026-01-22,도쿄(나리타),145354,False,False,1
23,2026-01-23,도쿄(나리타),156141,False,False,1
24,2026-01-24,도쿄(나리타),171598,True,False,1
25,2026-01-25,도쿄(나리타),171721,True,False,1
26,2026-01-26,도쿄(나리타),131840,False,False,1
27,2026-01-27,도쿄(나리타),133083,False,False,1
28,2026-01-28,도쿄(나리타),158045,False,False,1
29,2026-01-29,도쿄(나리타),143642,False,False,1
30,2026-01-30,도쿄(나리타),136460,False,False,1
31,2026-01-31,도쿄(나리타),166942,True,False,1
32,2026-02-01,도쿄(나리타),150932,True,False,2
33,2026-02-02,도쿄(나리타),150543,False,False,2
34,2026-02-03,도쿄(나리타),153713,False,False,2
35,2026-02-04,도쿄(나리타),152186,False,False,2
36,2026-02-05,도쿄(나리타),137492,False,False,2
37,2026-02-06,도쿄(나리타),141166,False,False,2
38,2026-02-07,도쿄(나리타),155651,True,False,2
39,2026-02-08,도쿄(나리타),158123,True,False,2
